id,name,district,lat,long,sale_price,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way,clinic_200m,convenience_store_200m,school_200m,university_200m,gov_service_200m,Hospital_200m,mall_200m,night_club_200m,public_park_200m,restaurant_200m,supermarket_200m,Airport_200m,E_railway_200m,railway_200m,clinic_500m,convenience_store_500m,school_500m,university_500m,gov_service_500m,Hospital_500m,mall_500m,night_club_500m,public_park_500m,restaurant_500m,supermarket_500m,Airport_500m,E_railway_500m,railway_500m,clinic_1000m,convenience_store_1000m,school_1000m,university_1000m,gov_service_1000m,Hospital_1000m,mall_1000m,night_club_1000m,public_park_1000m,restaurant_1000m,supermarket_1000m,Airport_1000m,E_railway_1000m,railway_1000m
1041,Suan Thon Park Condo,Thung Khru,13.65250352,100.4878251,1650000,23042,0.0,0.0,5.4,0.0,2,1,56.0,12,1,1997,1,1,1,1,0,0,0,0,0,0,0,0,8700,5000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,6,1,1,0,0,0,1,0,6,1,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,1550000,48384,0.0,0.0,4.5,0.0,1,1,28.0,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,5800,6100,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,1187000,48384,0.0,0.0,4.5,0.0,1,1,30.0,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,5800,6100,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,2600000,48384,0.0,0.0,4.5,0.0,2,2,60.0,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,5800,6100,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,1187000,48384,0.0,0.0,4.5,0.0,1,1,30.0,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,5800,6100,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,2500000,48384,0.0,0.0,4.5,0.0,2,2,60.0,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,5800,6100,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,1350000,48384,0.0,0.0,4.5,0.0,1,1,30.0,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,5800,6100,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,2330000,48384,0.0,0.0,4.5,0.0,1,1,60.0,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,5800,6100,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,1300000,48384,0.0,0.0,4.5,0.0,1,1,30.0,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,5800,6100,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,2300000,48384,0.0,0.0,4.5,0.0,1,1,60.0,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,5800,6100,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,1108000,48384,0.0,0.0,4.5,0.0,1,1,30.0,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,5800,6100,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,2373000,48384,0.0,0.0,4.5,0.0,1,1,60.0,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,5800,6100,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,2596000,48384,0.0,0.0,4.5,0.0,2,2,60.0,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,5800,6100,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
