id,name,district,lat,long,sale_price,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,clinic_200m,convenience_store_200m,school_200m,university_200m,gov_service_200m,Hospital_200m,mall_200m,night_club_200m,public_park_200m,restaurant_200m,supermarket_200m,Airport_200m,E_railway_200m,railway_200m,clinic_500m,convenience_store_500m,school_500m,university_500m,gov_service_500m,Hospital_500m,mall_500m,night_club_500m,public_park_500m,restaurant_500m,supermarket_500m,Airport_500m,E_railway_500m,railway_500m,clinic_1000m,convenience_store_1000m,school_1000m,university_1000m,gov_service_1000m,Hospital_1000m,mall_1000m,night_club_1000m,public_park_1000m,restaurant_1000m,supermarket_1000m,Airport_1000m,E_railway_1000m,railway_1000m
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,1108000,1,1,30,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,2373000,1,1,60,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,2596000,2,2,60,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,2590000,2,1,60,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
795,Origins Rama 2,Chom Thong,13.6541566,100.4238971,2500000,1,1,40,8,2,2015,1,1,1,1,1,0,1,1,1,1,0,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0
56,Aspen Condo Lasalle,Bang Na,13.6553479,100.6463239,2100000,1,1,35,8,2,2018,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
56,Aspen Condo Lasalle,Bang Na,13.6553479,100.6463239,2400000,1,1,27,8,2,2018,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
56,Aspen Condo Lasalle,Bang Na,13.6553479,100.6463239,3599000,2,2,48,8,2,2018,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
428,I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,2250000,2,2,47.7,8,6,2013,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,5,0,0,0,0
428,I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,1790000,1,1,28,8,6,2013,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,5,0,0,0,0
